Name,ReferenceDate,DailyReturn
S&P 500 Total Return Index,1/22/92,1.3308
S&P 500 Total Return Index,1/23/92,-0.7564
S&P 500 Total Return Index,1/24/92,0.1256
S&P 500 Total Return Index,1/27/92,-0.1004
S&P 500 Total Return Index,1/28/92,0.0063
S&P 500 Total Return Index,1/29/92,-1.1052
S&P 500 Total Return Index,1/30/92,0.3154
S&P 500 Total Return Index,1/31/92,-0.6836
S&P 500 Total Return Index,2/3/92,0.2082
S&P 500 Total Return Index,2/4/92,1.094
S&P 500 Total Return Index,2/5/92,0.0377
S&P 500 Total Return Index,2/6/92,0.021
S&P 500 Total Return Index,2/7/92,-0.6393
S&P 500 Total Return Index,2/10/92,0.7003
S&P 500 Total Return Index,2/11/92,0.0105
S&P 500 Total Return Index,2/12/92,0.819
S&P 500 Total Return Index,2/13/92,-0.8185
S&P 500 Total Return Index,2/14/92,-0.2576
S&P 500 Total Return Index,2/18/92,-1.2306
S&P 500 Total Return Index,2/19/92,0.219
S&P 500 Total Return Index,2/20/92,1.3875
S&P 500 Total Return Index,2/21/92,-0.588
S&P 500 Total Return Index,2/24/92,0.221
S&P 500 Total Return Index,2/25/92,-0.4138
S&P 500 Total Return Index,2/26/92,1.1937
S&P 500 Total Return Index,2/27/92,-0.3543
S&P 500 Total Return Index,2/28/92,-0.2782
S&P 500 Total Return Index,3/2/92,-0.0273
S&P 500 Total Return Index,3/3/92,0.1301
S&P 500 Total Return Index,3/4/92,-0.8465
S&P 500 Total Return Index,3/5/92,-0.6825
S&P 500 Total Return Index,3/6/92,-0.4894
S&P 500 Total Return Index,3/9/92,0.2117
S&P 500 Total Return Index,3/10/92,0.4288
S&P 500 Total Return Index,3/11/92,-0.7032
S&P 500 Total Return Index,3/12/92,-0.0321
S&P 500 Total Return Index,3/13/92,0.4858
S&P 500 Total Return Index,3/16/92,0.1406
S&P 500 Total Return Index,3/17/92,0.7954
S&P 500 Total Return Index,3/18/92,-0.1055
S&P 500 Total Return Index,3/19/92,0.1605
S&P 500 Total Return Index,3/20/92,0.3669
S&P 500 Total Return Index,3/23/92,-0.3362
S&P 500 Total Return Index,3/24/92,-0.2509
S&P 500 Total Return Index,3/25/92,-0.2811
S&P 500 Total Return Index,3/26/92,0.0869
S&P 500 Total Return Index,3/27/92,-1.0673
S&P 500 Total Return Index,3/30/92,-0.1006
S&P 500 Total Return Index,3/31/92,0.1757
